21,MH6092432/2016-17/33321037,8.10000 MAl ,0.30000 N   ,,0.32000 L ,,221.00000 L ,1.09000 VL,359.00000 H ,1.19000 D,0.37000 D,1.63000 D,,2.31000 S,10.28000 S,
22,MH6092432/2016-17/33321240,8.00000 MAl ,0.32000 N   ,,0.47000 L ,,332.00000 M ,0.65000 VL,232.00000 M ,0.78000 D,0.17000 D,1.73000 D,,2.32000 S,10.11000 S,
23,MH6092432/2016-17/33321889,8.02000 MAl ,0.26000 N   ,,0.79000 H ,,552.00000 M ,2.19000 VL,211.00000 M ,0.83000 D,0.45000 D,1.28000 D,,2.38000 S,10.34000 S,
24,MH6092432/2016-17/33322702,8.04000 MAl ,0.20000 N   ,,0.63000 M ,,442.00000 M ,1.31000 VL,528.00000 H ,0.38000 D,0.38000 D,2.46000 D,,2.19000 S,9.42000 S,
25,MH6092432/2016-17/33323773,8.00000 MAl ,0.19000 N   ,,0.47000 L ,,331.00000 M ,3.50000 VL,539.00000 H ,1.03000 D,0.22000 D,1.85000 D,,2.04000 S,10.90000 S,
26,MH6092432/2016-17/33324664,8.04000 MAl ,0.27000 N   ,,0.63000 M ,,442.00000 M ,6.14000 L ,380.00000 H ,0.63000 D,0.29000 D,1.70000 D,,2.18000 S,10.73000 S,
27,MH6092432/2016-17/33325546,7.98000 MAl ,0.29000 N   ,,0.47000 L ,,332.00000 M ,5.92000 L ,275.00000 M ,0.77000 D,0.25000 D,2.64000 D,,2.06000 S,10.26000 S,
28,MH6092432/2016-17/33325672,7.90000 MAl ,0.20000 N   ,,0.55000 M ,,386.00000 M ,1.06000 VL,148.00000 M ,0.66000 D,0.19000 D,2.28000 D,,2.25000 S,10.41000 S,
29,MH6092432/2016-17/33326087,7.70000 MAl ,0.30000 N   ,,0.32000 L ,,221.00000 L ,10.53000 M ,465.00000 H ,1.02000 D,0.34000 D,3.05000 D,,2.20000 S,9.64000 S,
30,MH6092432/2016-17/33326771,7.80000 MAl ,0.22000 N   ,,0.47000 L ,,332.00000 M ,1.75000 VL,243.00000 M ,1.13000 D,0.38000 D,2.80000 D,,2.12000 S,11.10000 S,
31,MH6092432/2016-17/33327254,8.00000 MAl ,0.29000 N   ,,0.32000 L ,,221.00000 L ,1.31000 VL,222.00000 M ,0.94000 D,0.31000 D,1.77000 D,,2.70000 S,10.12000 S,
32,MH6092432/2016-17/33327569,8.01000 MAl ,0.33000 N   ,,0.32000 L ,,221.00000 L ,0.21000 VL,201.00000 M ,5.67000 D,0.28000 D,2.53000 D,,2.68000 S,11.42000 S,
33,MH6092432/2016-17/33327972,8.08000 MAl ,0.27000 N   ,,0.16000 VL,,110.00000 VL,0.87000 VL,422.00000 H ,5.01000 D,0.44000 D,2.99000 D,,2.67000 S,10.36000 S,
34,MH6092432/2016-17/33328229,7.10000 MAl ,0.30000 N   ,,0.63000 M ,,442.00000 M ,4.38000 VL,359.00000 H ,5.53000 D,0.53000 D,1.64000 D,,2.23000 S,10.38000 S,
35,MH6092432/2016-17/33328621,7.16000 MAl ,0.20000 N   ,,0.47000 L ,,332.00000 M ,2.41000 VL,581.00000 H ,4.71000 D,0.35000 D,1.58000 D,,2.62000 S,9.77000 S,
36,MH6092432/2016-17/33329991,7.48000 MAl ,0.22000 N   ,,0.47000 L ,,332.00000 M ,1.53000 VL,655.00000 H ,4.82000 D,0.41000 D,2.78000 D,,2.74000 S,12.81000 S,
37,MH6092432/2016-17/33330636,7.26000 MAl ,0.30000 N   ,,0.32000 L ,,221.00000 L ,1.97000 VL,602.00000 H ,5.03000 D,0.28000 D,1.72000 D,,2.43000 S,11.02000 S,
38,MH6092432/2016-17/33331223,7.28000 MAl ,0.40000 N   ,,0.63000 M ,,442.00000 M ,2.19000 VL,718.00000 VH,6.76000 D,0.29000 D,1.30000 D,,2.82000 S,10.28000 S,
39,MH6092432/2016-17/33331634,7.70000 MAl ,0.31000 N   ,,0.47000 L ,,332.00000 M ,2.85000 VL,465.00000 H ,6.21000 D,0.16000 D,1.78000 D,,2.99000 S,11.34000 S,
40,MH6092432/2016-17/33331962,8.00000 MAl ,0.27000 N   ,,0.32000 L ,,221.00000 L ,3.07000 VL,380.00000 H ,5.76000 D,0.46000 D,2.70000 D,,2.54000 S,9.02000 S,
41,MH6092432/2016-17/33332528,7.60000 MAl ,0.24000 N   ,,0.47000 L ,,332.00000 M ,0.21000 VL,581.00000 H ,7.27000 D,0.41000 D,1.91000 D,,2.27000 S,11.18000 S,
42,MH6092432/2016-17/33332761,7.90000 MAl ,0.25000 N   ,,0.32000 L ,,221.00000 L ,14.03000 M ,528.00000 H ,5.73000 D,0.33000 D,1.58000 D,,2.24000 S,10.46000 S,
43,MH6092432/2016-17/33333097,7.98000 MAl ,0.24000 N   ,,0.47000 L ,,331.00000 M ,4.82000 VL,634.00000 H ,7.32000 D,0.26000 D,1.46000 D,,2.35000 S,10.56000 S,
44,MH6092432/2016-17/33333503,7.90000 MAl ,0.22000 N   ,,0.16000 VL,,111.00000 VL,5.04000 L ,781.00000 VH,6.00000 D,0.22000 D,1.33000 D,,2.51000 S,10.26000 S,
45,MH6092432/2016-17/33333937,7.70000 MAl ,0.26000 N   ,,0.47000 L ,,332.00000 M ,1.09000 VL,517.00000 H ,5.67000 D,0.39000 D,2.02000 D,,2.57000 S,9.82000 S,
46,MH6092432/2016-17/33334263,8.02000 MAl ,0.29000 N   ,,0.63000 M ,,442.00000 M ,1.53000 VL,539.00000 H ,4.71000 D,0.25000 D,1.87000 D,,2.04000 S,11.58000 S,
47,MH6092432/2016-17/33334456,8.08000 MAl ,0.26000 N   ,,0.47000 L ,,332.00000 M ,7.01000 L ,634.00000 H ,4.80000 D,0.43000 D,1.90000 D,,2.07000 S,10.20000 S,
48,MH6092432/2016-17/33334777,8.10000 MAl ,0.24000 N   ,,0.63000 M ,,442.00000 M ,3.07000 VL,570.00000 H ,0.47000 D,0.35000 D,1.76000 D,,1.74000 S,12.47000 S,
49,MH6092432/2016-17/33336497,8.02000 MAl ,0.23000 N   ,,0.63000 M ,,442.00000 M ,6.14000 L ,380.00000 H ,4.47000 D,0.47000 D,2.05000 D,,3.00000 S,12.15000 S,
50,MH6092432/2016-17/33336846,8.00000 MAl ,0.27000 N   ,,0.32000 L ,,221.00000 L ,3.50000 VL,623.00000 H ,4.01000 D,0.53000 D,2.98000 D,,2.24000 S,10.33000 S,
51,MH6092432/2016-17/33337369,7.91000 MAl ,0.85000 N   ,,0.65000 M ,,457.00000 M ,2.85000 VL,285.00000 M ,2.82000 D,0.43000 D,3.06000 D,,1.09000 S,11.68000 S,
52,MH6092432/2016-17/33340424,7.92000 MAl ,0.50000 N   ,,0.52000 M ,,365.00000 M ,1.09000 VL,380.00000 H ,3.83000 D,0.30000 D,3.21000 D,,1.13000 S,10.90000 S,
53,MH6092432/2016-17/33340483,7.95000 MAl ,0.77000 N   ,,0.39000 L ,,273.00000 L ,1.75000 VL,391.00000 H ,2.09000 D,0.26000 D,2.60000 D,,0.86000 S,10.56000 S,
54,MH6092432/2016-17/33340557,7.83000 MAl ,0.60000 N   ,,0.65000 M ,,257.00000 L ,0.43000 VL,348.00000 H ,3.30000 D,0.20000 D,2.80000 D,,0.94000 S,11.47000 S,
55,MH6092432/2016-17/33340650,7.92000 MAl ,0.78000 N   ,,0.26000 L ,,183.00000 L ,0.87000 VL,327.00000 M ,3.96000 D,0.18000 D,2.83000 D,,1.02000 S,12.38000 S,
56,MH6092432/2016-17/33340683,7.91000 MAl ,0.70000 N   ,,0.52000 M ,,365.00000 M ,2.19000 VL,570.00000 H ,4.40000 D,0.31000 D,3.07000 D,,1.18000 S,10.90000 S,
57,MH6092432/2016-17/33340810,7.84000 MAl ,0.66000 N   ,,0.65000 M ,,456.00000 M ,1.75000 VL,528.00000 H ,3.04000 D,0.22000 D,3.52000 D,,1.25000 S,10.81000 S,
58,MH6092432/2016-17/33340916,7.76000 MAl ,0.72000 N   ,,0.39000 L ,,273.00000 L ,2.41000 VL,591.00000 H ,2.95000 D,0.49000 D,3.10000 D,,1.08000 S,12.76000 S,
59,MH6092432/2016-17/33340986,7.87000 MAl ,0.89000 N   ,,0.26000 L ,,182.00000 L ,2.63000 VL,370.00000 H ,2.43000 D,0.39000 D,3.46000 D,,1.12000 S,13.22000 S,
60,MH6092432/2016-17/33341085,7.84000 MAl ,0.66000 N   ,,0.52000 M ,,365.00000 M ,4.38000 VL,275.00000 M ,2.79000 D,0.25000 D,4.95000 S,,1.39000 S,14.89000 S,
61,MH6092432/2016-17/33341201,7.60000 MAl ,0.60000 N   ,,0.52000 M ,,365.00000 M ,6.14000 L ,253.00000 M ,3.55000 D,0.44000 D,4.69000 S,,1.35000 S,10.17000 S,
62,MH6092432/2016-17/33341248,7.73000 MAl ,0.68000 N   ,,0.65000 M ,,456.00000 M ,5.92000 L ,253.00000 M ,3.23000 D,0.34000 D,5.10000 S,,1.56000 S,11.81000 S,
63,MH6092432/2016-17/33341353,7.72000 MAl ,0.33000 N   ,,0.65000 M ,,457.00000 M ,1.09000 VL,348.00000 H ,3.17000 D,0.35000 D,4.23000 D,,1.31000 S,12.22000 S,
64,MH6092432/2016-17/33341402,7.66000 MAl ,0.50000 N   ,,0.52000 M ,,365.00000 M ,2.41000 VL,296.00000 M ,2.44000 D,0.28000 D,3.33000 D,,1.15000 S,13.96000 S,
65,MH6092432/2016-17/33341494,7.98000 MAl ,0.62000 N   ,,0.26000 L ,,182.00000 L ,2.19000 VL,591.00000 H ,3.61000 D,0.20000 D,3.70000 D,,1.32000 S,12.20000 S,
66,MH6092432/2016-17/33409505,7.97000 MAl ,0.60000 N   ,,0.78000 H ,,547.00000 M ,1.97000 VL,549.00000 H ,4.51000 D,0.23000 D,2.79000 D,,1.11000 S,11.40000 S,
67,MH6092432/2016-17/33410632,8.23000 MAl ,0.37000 N   ,,0.65000 M ,,457.00000 M ,0.65000 VL,591.00000 H ,3.80000 D,0.33000 D,2.57000 D,,0.93000 S,10.34000 S,
68,MH6092432/2016-17/33411041,8.16000 MAl ,0.33000 N   ,,0.39000 L ,,273.00000 L ,1.31000 VL,581.00000 H ,3.39000 D,0.25000 D,3.93000 D,,1.07000 S,11.50000 S,
69,MH6092432/2016-17/33411452,8.20000 MAl ,0.60000 N   ,,0.26000 L ,,183.00000 L ,0.43000 VL,517.00000 H ,1.35000 D,0.47000 D,2.98000 D,,1.09000 S,12.01000 S,
70,MH6092432/2016-17/33411895,8.11000 MAl ,0.29000 N   ,,0.52000 M ,,365.00000 M ,0.21000 VL,612.00000 H ,4.23000 D,0.34000 D,3.19000 D,,1.44000 S,10.73000 S,
71,MH6092432/2016-17/33412391,8.20000 MAl ,0.34000 N   ,,0.52000 M ,,365.00000 M ,2.41000 VL,549.00000 H ,3.92000 D,0.18000 D,2.89000 D,,1.14000 S,13.33000 S,
72,MH6092432/2016-17/33412999,8.05000 MAl ,0.30000 N   ,,0.65000 M ,,456.00000 M ,3.28000 VL,539.00000 H ,3.58000 D,0.30000 D,3.50000 D,,1.38000 S,,
73,MH6092432/2016-17/33413405,8.11000 MAl ,0.39000 N   ,,0.52000 M ,,365.00000 M ,0.21000 VL,549.00000 H ,4.36000 D,0.30000 D,2.92000 D,,1.15000 S,11.88000 S,
74,MH6092432/2016-17/33413906,8.02000 MAl ,0.49000 N   ,,0.65000 M ,,457.00000 M ,4.38000 VL,602.00000 H ,3.02000 D,0.47000 D,3.25000 D,,1.16000 S,12.90000 S,
75,MH6092432/2016-17/33414398,8.11000 MAl ,0.55000 N   ,,0.52000 M ,,365.00000 M ,4.82000 VL,486.00000 H ,2.55000 D,0.51000 D,3.20000 D,,1.15000 S,10.47000 S,
76,MH6092432/2016-17/33414944,8.00000 MAl ,0.50000 N   ,,0.39000 L ,,274.00000 L ,1.75000 VL,612.00000 H ,2.43000 D,0.40000 D,3.33000 D,,1.25000 S,11.56000 S,
77,MH6092432/2016-17/33415905,8.05000 MAl ,0.49000 N   ,,0.52000 M ,,365.00000 M ,1.53000 VL,465.00000 H ,3.54000 D,0.21000 D,3.46000 D,,1.27000 S,12.67000 S,
78,MH6092432/2016-17/33416610,,0.25000 N   ,,0.52000 M ,,365.00000 M ,1.97000 VL,496.00000 H ,1.71000 D,0.32000 D,4.82000 S,,6.10000 S,10.54000 S,
79,MH6092432/2016-17/33418127,,0.60000 N   ,,1.20000 VH,,840.00000 VH,2.63000 VL,148.00000 M ,3.86000 D,0.33000 D,3.39000 D,,1.13000 S,,
80,MH6092432/2016-17/33418929,,0.62000 N   ,,1.05000 VH,,735.00000 VH,3.07000 VL,275.00000 M ,4.13000 D,0.39000 D,6.08000 S,,2.39000 S,10.78000 S,
81,MH6092432/2016-17/33419440,7.20000 MAl ,0.68000 N   ,,0.90000 H ,,630.00000 H ,4.38000 VL,285.00000 M ,4.01000 D,0.33000 D,5.11000 S,,1.94000 S,11.45000 S,
82,MH6092432/2016-17/33419941,7.29000 MAl ,0.66000 N   ,,0.60000 M ,,420.00000 M ,6.36000 L ,127.00000 L ,3.86000 D,0.33000 D,3.87000 D,,1.87000 S,10.55000 S,
83,MH6092432/2016-17/33420412,7.40000 MAl ,0.67000 N   ,,1.20000 VH,,840.00000 VH,7.01000 L ,306.00000 M ,4.19000 D,0.35000 D,3.92000 D,,2.93000 S,13.20000 S,
84,MH6092432/2016-17/33420692,7.42000 MAl ,0.44000 N   ,,0.60000 M ,,420.00000 M ,8.33000 L ,275.00000 M ,4.19000 D,0.29000 D,4.53000 S,,3.73000 S,10.67000 S,
85,MH6092432/2016-17/33421282,7.29000 MAl ,0.38000 N   ,,0.90000 H ,,630.00000 H ,7.89000 L ,127.00000 L ,3.74000 D,0.34000 D,4.96000 S,,1.52000 S,13.42000 S,
86,MH6092432/2016-17/33421802,7.23000 MAl ,0.29000 N   ,,1.20000 VH,,840.00000 VH,3.50000 VL,169.00000 M ,3.93000 D,0.81000 S,2.97000 D,,1.93000 S,10.40000 S,
87,MH6092432/2016-17/33422204,7.80000 MAl ,0.34000 N   ,,0.90000 H ,,630.00000 H ,4.16000 VL,264.00000 M ,4.19000 D,0.27000 D,3.32000 D,,2.05000 S,10.32000 S,
88,MH6092432/2016-17/33422541,7.40000 MAl ,0.38000 N   ,,0.75000 M ,,525.00000 M ,5.70000 L ,285.00000 M ,4.41000 D,0.30000 D,3.40000 D,,1.86000 S,11.31000 S,
89,MH6092432/2016-17/33422945,7.90000 MAl ,0.44000 N   ,,0.90000 H ,,630.00000 H ,6.57000 L ,169.00000 M ,4.94000 D,0.30000 D,3.76000 D,,2.96000 S,13.28000 S,
90,MH6092432/2016-17/33423810,7.98000 MAl ,0.40000 N   ,,0.60000 M ,,420.00000 M ,8.33000 L ,243.00000 M ,5.14000 D,0.68000 S,4.20000 D,,2.44000 S,10.39000 S,
91,MH6092432/2016-17/33424142,7.50000 MAl ,0.29000 N   ,,0.90000 H ,,630.00000 H ,4.82000 VL,253.00000 M ,5.04000 D,0.72000 S,6.44000 S,,1.59000 S,13.16000 S,
92,MH6092432/2016-17/33424574,7.44000 MAl ,0.39000 N   ,,0.90000 H ,,630.00000 H ,6.57000 L ,338.00000 H ,3.93000 D,0.23000 D,5.17000 S,,3.67000 S,11.26000 S,
93,MH6092432/2016-17/33425487,7.49000 MAl ,0.43000 N   ,,0.75000 M ,,525.00000 M ,7.89000 L ,338.00000 H ,4.19000 D,0.77000 S,5.34000 S,,2.16000 S,10.44000 S,
94,MH6092432/2016-17/33426041,7.29000 MAl ,0.54000 N   ,,1.35000 VH,,945.00000 VH,7.23000 L ,296.00000 M ,4.94000 D,0.45000 D,6.04000 S,,2.24000 S,12.56000 S,
95,MH6092432/2016-17/33426470,7.50000 MAl ,0.37000 N   ,,0.90000 H ,,630.00000 H ,8.33000 L ,264.00000 M ,5.06000 D,0.52000 D,3.99000 D,,1.70000 S,13.36000 S,
96,MH6092432/2016-17/33426924,7.62000 MAl ,0.38000 N   ,,0.90000 H ,,630.00000 H ,8.55000 L ,285.00000 M ,5.04000 D,0.23000 D,2.92000 D,,1.32000 S,12.71000 S,
97,MH6092432/2016-17/33427226,7.70000 MAl ,0.56000 N   ,,1.05000 VH,,735.00000 VH,7.67000 L ,169.00000 M ,5.07000 D,0.19000 D,4.71000 S,,2.07000 S,11.37000 S,
98,MH6092432/2016-17/33428189,7.72000 MAl ,0.49000 N   ,,1.20000 VH,,840.00000 VH,7.45000 L ,253.00000 M ,5.09000 D,0.35000 D,3.60000 D,,1.50000 S,10.22000 S,
99,MH6092432/2016-17/33429251,7.76000 MAl ,0.62000 N   ,,1.05000 VH,,735.00000 VH,8.55000 L ,158.00000 M ,5.10000 D,0.27000 D,4.76000 S,,2.54000 S,10.89000 S,
100,MH6092432/2016-17/33429696,7.80000 MAl ,0.80000 N   ,,1.20000 VH,,840.00000 VH,8.11000 L ,306.00000 M ,3.98000 D,0.38000 D,5.95000 S,,0.00000 D,12.72000 S,
101,MH6092432/2016-17/33429898,7.89000 MAl ,0.39000 N   ,,0.75000 M ,,525.00000 M ,6.57000 L ,264.00000 M ,4.12000 D,0.41000 D,5.92000 S,,3.07000 S,12.56000 S,
102,MH6092432/2016-17/33430102,7.40000 MAl ,0.44000 N   ,,0.90000 H ,,630.00000 H ,6.79000 L ,201.00000 M ,4.94000 D,0.40000 D,3.70000 D,,1.50000 S,13.54000 S,
103,MH6092432/2016-17/33430216,7.32000 MAl ,0.40000 N   ,,0.90000 H ,,630.00000 H ,3.94000 VL,232.00000 M ,5.14000 D,0.26000 D,4.60000 S,,1.81000 S,11.73000 S,
104,MH6092432/2016-17/33431416,7.80000 MAl ,0.58000 N   ,,0.90000 H ,,630.00000 H ,5.26000 L ,359.00000 H ,5.04000 D,0.34000 D,5.77000 S,,2.66000 S,10.57000 S,
105,MH6092432/2016-17/33431910,7.86000 MAl ,0.52000 N   ,,0.90000 H ,,630.00000 H ,6.14000 L ,275.00000 M ,5.14000 D,0.29000 D,4.00000 D,,1.19000 S,13.22000 S,
106,MH6092432/2016-17/33432445,7.82000 MAl ,0.50000 N   ,,1.05000 VH,,735.00000 VH,6.36000 L ,243.00000 M ,4.70000 D,0.25000 D,2.99000 D,,1.15000 S,11.34000 S,
107,MH6092432/2016-17/33432591,7.29000 MAl ,0.39000 N   ,,0.60000 M ,,420.00000 M ,8.55000 L ,317.00000 M ,3.83000 D,0.34000 D,5.32000 S,,1.76000 S,12.56000 S,
108,MH6092432/2016-17/33433351,7.38000 MAl ,0.60000 N   ,,1.05000 VH,,735.00000 VH,8.33000 L ,412.00000 H ,3.98000 D,0.30000 D,4.70000 S,,1.58000 S,10.02000 S,
109,MH6092432/2016-17/33500761,8.10000 MAl ,0.73000 N   ,,0.27000 L ,,191.00000 L ,13.37000 M ,1045.00000 VH,2.66000 D,0.46000 D,2.43000 D,,3.75000 S,13.57000 S,
110,MH6092432/2016-17/33501464,8.09000 MAl ,0.70000 N   ,,0.40000 L ,,286.00000 M ,1.97000 VL,993.00000 VH,2.82000 D,0.35000 D,1.60000 D,,3.50000 S,13.35000 S,
111,MH6092432/2016-17/33502026,8.00000 MAl ,0.62000 N   ,,0.68000 M ,,477.00000 M ,1.53000 VL,792.00000 VH,4.46000 D,0.44000 D,1.66000 D,,1.85000 S,14.48000 S,
112,MH6092432/2016-17/33502798,8.02000 MAl ,0.70000 N   ,,0.34000 L ,,239.00000 L ,0.21000 VL,496.00000 H ,3.63000 D,0.47000 D,1.76000 D,,2.40000 S,15.33000 S,
113,MH6092432/2016-17/33503765,8.04000 MAl ,0.60000 N   ,,0.81000 H ,,573.00000 H ,1.53000 VL,412.00000 H ,4.41000 D,0.38000 D,3.31000 D,,1.21000 S,13.26000 S,
114,MH6092432/2016-17/33504773,8.04000 MAl ,0.60000 N   ,,0.81000 H ,,573.00000 H ,1.53000 VL,412.00000 H ,4.41000 D,0.38000 D,3.31000 D,,1.21000 S,13.26000 S,
115,MH6092432/2016-17/33506080,7.98000 MAl ,0.62000 N   ,,0.40000 L ,,286.00000 M ,1.75000 VL,264.00000 M ,2.67000 D,0.49000 D,6.89000 S,,1.43000 S,12.45000 S,
116,MH6092432/2016-17/33506758,7.90000 MAl ,0.34000 N   ,,0.95000 H ,,668.00000 H ,2.41000 VL,222.00000 M ,2.67000 D,0.48000 D,2.69000 D,,2.06000 S,12.96000 S,
117,MH6092432/2016-17/33507390,7.70000 MAl ,0.40000 N   ,,0.68000 M ,,477.00000 M ,1.09000 VL,306.00000 M ,4.11000 D,0.53000 D,2.38000 D,,1.48000 S,12.32000 S,
118,MH6092432/2016-17/33507873,7.90000 MAl ,0.26000 N   ,,0.27000 L ,,191.00000 L ,4.16000 VL,222.00000 M ,2.53000 D,0.25000 D,3.51000 D,,1.32000 S,10.15000 S,
119,MH6092432/2016-17/33509319,7.94000 MAl ,0.59000 N   ,,0.61000 M ,,429.00000 M ,1.09000 VL,750.00000 VH,2.52000 D,0.33000 D,3.35000 D,,2.28000 S,11.91000 S,
120,MH6092432/2016-17/33510022,7.10000 MAl ,0.44000 N   ,,0.81000 H ,,573.00000 H ,0.87000 VL,718.00000 VH,3.60000 D,0.37000 D,5.20000 S,,2.07000 S,12.34000 S,
121,MH6092432/2016-17/33510861,7.19000 MAl ,0.42000 N   ,,0.81000 H ,,573.00000 H ,1.75000 VL,433.00000 H ,4.23000 D,0.47000 D,3.68000 D,,1.59000 S,11.29000 S,
122,MH6092432/2016-17/33511390,7.78000 MAl ,0.49000 N   ,,0.54000 M ,,382.00000 M ,2.19000 VL,412.00000 H ,4.41000 D,0.63000 S,3.50000 D,,2.07000 S,11.02000 S,
123,MH6092432/2016-17/33512163,7.90000 MAl ,0.36000 N   ,,0.68000 M ,,477.00000 M ,1.31000 VL,180.00000 M ,2.59000 D,0.58000 D,5.08000 S,,1.59000 S,12.32000 S,
124,MH6092432/2016-17/33513235,7.92000 MAl ,0.30000 N   ,,0.68000 M ,,477.00000 M ,3.50000 VL,401.00000 H ,3.63000 D,0.40000 D,3.81000 D,,2.04000 S,13.37000 S,
125,MH6092432/2016-17/33513789,8.10000 MAl ,0.42000 N   ,,0.54000 M ,,382.00000 M ,1.09000 VL,275.00000 M ,2.55000 D,0.54000 D,2.19000 D,,1.68000 S,11.86000 S,
126,MH6092432/2016-17/33514656,8.09000 MAl ,0.29000 N   ,,0.81000 H ,,572.00000 H ,0.43000 VL,475.00000 H ,2.99000 D,0.49000 D,3.95000 D,,1.55000 S,10.20000 S,
127,MH6092432/2016-17/33515271,8.00000 MAl ,0.59000 N   ,,0.68000 M ,,477.00000 M ,0.21000 VL,528.00000 H ,4.01000 D,0.58000 D,3.67000 D,,1.42000 S,13.48000 S,
128,MH6092432/2016-17/33515958,8.03000 MAl ,0.34000 N   ,,0.54000 M ,,382.00000 M ,6.14000 L ,539.00000 H ,4.23000 D,0.51000 D,3.83000 D,,1.48000 S,12.53000 S,
129,MH6092432/2016-17/33516617,8.20000 MAl ,0.44000 N   ,,0.68000 M ,,477.00000 M ,7.45000 L ,465.00000 H ,2.77000 D,0.47000 D,3.32000 D,,1.43000 S,10.97000 S,
